English Term,English Def.,Arabic Term,Arabic Def.,French Term,French Def.,Refined  English Def.,Refined French Def.
Bidirectional Encoder Representations From Transformers (BERT),A deep learning technique based on transformer architecture for natural language processing (NLP).,تمثيلات الترميز الثنائية الاتجاه من المُحوِّلات (بيرت),أسلوب تعلُّم عميق يعتمد على معمارية المُحوِّلات؛ لمعالجة اللغات الطبيعية.,Représentations d’encodeur bidirectionnel à partir de transformeurs ,"Technique d’apprentissage profond reposant sur l’architecture des transformeurs, utilisée pour le traitement automatique du langage naturel.",,
Bidirectional Language Model,A model that defines the probability of a word's presence in a text based on the text that comes before and after it.,نموذج لغوي ثنائي الاتجاه,نموذج يحدد احتمالية وجود كلمة في نص ما بناءً على النص الذي يأتي قبلها وبعدها.,Modèle de langage bidirectionnel,Modèle définissant la probabilité de présence d’un mot dans un texte en fonction du contexte précédent et suivant.,,
Big Data,"A large dataset that requires scalable technologies for storage, processing, management, and analysis due to its characteristics of volume, variety, velocity, and variability.",بيانات ضخمة,مجموعة بيانات كبيرة تتطلب تقنيات قابلة للتوسع لتخزينها ومعالجتها وإدارتها وتحليلها؛ نظرًا لخصائص حجمها وتنوعها وسرعتها وتباينها.,"""Big Data"" (données massives)","Ensemble de données volumineuses nécessitant des technologies évolutives pour leur stockage, traitement et analyse, caractérisées par le volume, la variété, la vélocité et la variabilité.",,
Big Data Analytics,"The process of examining a large amount of diverse data to discover patterns, correlations, and trends that provide insights and support decision-making.",تحليلات البيانات الضخمة,عملية فحص كمية كبيرة من البيانات المتنوعة؛ لاكتشاف الأنماط والارتباطات والاتجاهات التي تُقدِّم رؤى وتدعم اتخاذ القرار.,Analyse des données massives,"Processus d’examen et d’interprétation d’un grand volume de données hétérogènes pour découvrir des tendances, corrélations et modèles soutenant la prise de décision.",,
Big Data Intelligence,The use of AI technologies to analyze and interpret large complex datasets.,ذكاء البيانات الضخمة,استخدام تقنيات الذكاء الاصطناعي لتحليل مجموعات البيانات الكبيرة المعقدة وتفسيرها.,Intelligence issue des données massives,Utilisation de technologies d’intelligence artificielle pour analyser et interpréter de grands ensembles de données complexes.,,
Big O Notation,"A theoretical measure of the needed algorithm's execution time or memory, given the problem size.",رمز (أُو) الكبرى,مقياس نظري للوقت أو الذاكرة اللازمين لتنفيذ الخوارزمية بالنظر إلى حجم المشكلة.,"Notation ""Big O""",Mesure théorique du temps ou de la mémoire nécessaires à l’exécution d’un algorithme en fonction de la taille du problème.,,
Bigram,A sequence of two items in a text.,وحدات ثنائية,تسلسل من عنصرين في نص ما.,Bigramme,Séquence de deux éléments dans un texte.,,
Bilingual Evaluation Understudy (BLEU),A measure to automatically evaluate the quality of machine-translated text from one language to another.,تقييم ثنائي اللغة,مقياس لتقييم جودة النص المترجم تلقائيًّا من لغة إلى أخرى.,"Score ""BLEU"" (évaluation bilingue de substitution)",Une mesure permettant d'évaluer automatiquement la qualité d'un texte traduit d'une langue à une autre.,Automatic measurement of the quality of a machine-translated text by comparing it to a human reference translation.,Mesure automatique de la qualité d’un texte traduit par machine en le comparant à une traduction humaine de référence
Binary Classification,A type of classification that predicts only one out of two possible classes.,تصنيف ثنائي,نوع من أنواع التصنيف يتنبأ بفئة واحدة فقط من بين صنفين محتملين.,Classification binaire,Type de classification qui prédit une seule classe parmi deux possibles.,,
Binary Tree,A tree structure in which each node has at most two children.,شجرة ثنائية,هيكل شجري، كل عقدة فيه تحتوي على عقدتين فرعيتين على الأكثر.,Arbre binaire,Structure arborescente dans laquelle chaque nœud possède au maximum deux enfants.,,
Binning,"See ""Bucketing.""",تجميع صناديق,"انظر ""تجميع وحدات"".","""Binning""  ou regroupement par classes","Voir "" Regroupement en intervalles "".",,
Biometrics,The measurable physical and behavioral characteristics that can be used to identify and authenticate individuals.,قياسات حيوية,الخصائص الجسدية والسلوكية القابلة للقياس التي يمكن استخدامها لتحديد هوية الأفراد والتحقق منها.,Biométrie,Caractéristiques physiques et comportementales mesurables permettant d’identifier et d’authentifier des individus.,,
Black Box,"A metaphor used to describe a system or an algorithm with unknown internal structure or hidden workings, leading to a lack of understanding of how it works.",صندوق أسود,استعارة تُستخدم لوصف نظام أو خوارزمية ذات بنية داخلية غير معروفة أو أعمال غير ظاهرة؛ تؤدي إلى عدم فهم كيفية عملها.,Boîte noire,"Métaphore utilisée pour décrire un système ou un algorithme dont la structure interne ou les mécanismes sont inconnus ou cachés, ce qui empêche de comprendre son fonctionnement.",,
Boltzmann Machine,A neural network of nodes that are symmetrically connected and make their own decisions about activation.,آلة بولتزمان,شبكة عصبية من العُقَد المتصلة المتماثلة، وتتخذ قراراتها الخاصة بشأن التنشيط.,Machine de Boltzmann,Réseau neuronal composé de nœuds connectés de manière symétrique et capables de prendre leurs propres décisions d’activation.,,
Boosting,An ensemble learning method used in machine learning to improve the accuracy of predictive models.,تعزيز,طريقة تعلُّم تجميعي تُستخدم في تعلُّم الآلة لتحسين دقة النماذج التنبؤية.,"""Boosting""  ou Renforcement",Méthode d’apprentissage ensembliste utilisée pour améliorer la précision des modèles prédictifs.,,
Bootstrap Aggregating (Bagging),An ensemble learning method used to improve the stability and accuracy of the classification and regression models.,تجميع بوتستراب,طريقة تعلُّم تجميعي تُستخدم لتحسين الاستقرار والدقة في نماذج التصنيف والانحدار.,"Agrégation par ""bootstrap"" (Bagging)",Méthode d’apprentissage ensembliste utilisée pour améliorer la stabilité et la précision des modèles de classification et de régression.,,
Bot,An automated software program that performs repetitive tasks to simulate human activity.,بوت,برنامج مؤتمت يؤدي مهامَّ متكررة؛ لمحاكاة النشاط البشري.,"""Bot"" ou robot logiciel",Programme automatisé qui exécute des tâches répétitives afin de simuler une activité humaine.,,
Bounding Box,The coordinates of a rectangle around an area of interest or an object.,إطار تحديد,إحداثيات تحدد إطارًا مستطيلًا يحيط بمنطقة معينة أو شيء ما.,Boîte englobante,Coordonnées d’un rectangle délimitant une zone d’intérêt ou un objet.,,
Branching Factor,The number of descendants that a node generates.,عامل التفرع,عدد العُقَد الفرعية التي تُولِّدها العقدة.,Facteur de branchement,Nombre de descendants qu’un nœud génère dans une structure arborescente.,,
Broad Artificial Intelligence,"See ""Artificial General Intelligence (AGI).""",ذكاء اصطناعي واسع,"انظر ""ذكاء عام اصطناعي"".",Intelligence artificielle générale,"Voir "" Intelligence artificielle générale"".",,
Broadcasting,A method in machine learning for matching the dimensions of arrays of different sizes to allow performing arithmetic operations between those arrays.,بث,طريقة في تعلُّم الآلة لمطابقة أبعاد المصفوفات ذات الأحجام المختلفة، وإتاحة إجراء عمليات حسابية بين تلك المصفوفات.,Diffusion dimensionnelle,Méthode utilisée en apprentissage automatique pour adapter les dimensions de tableaux de tailles différentes afin d’effectuer des opérations arithmétiques entre eux.,,
Brute Force Search,A technique to solve a problem by iterating through all possible solutions until finding a valid one.,بحث القوة الغاشمة,أسلوب لحل مشكلة ما عن طريق تجربة جميع الحلول الممكنة حتى العثور على الحل المناسب.,Recherche par force brute (Recherche exhaustive),Technique de résolution consistant à parcourir toutes les solutions possibles jusqu’à en trouver une valide.,,
Bucketing,"A process of transforming a continuous feature into multiple binary ones called buckets based on a range of values. Also called ""Binning.""",تجميع وحدات,"عملية تحويل خاصية مستمرة إلى خاصية ثنائية متعددة تُسمَّى وحدات؛ بناءً على نطاق من القيم. ويُطلق عليها أيضًا ""تجميع صناديق"".",Regroupement en intervalles (Bucketing),"Processus de transformation d’une variable continue en plusieurs variables binaires appelées "" intervalles "" ou "" compartiments "". Également appelé "" Binning "".",,
Burstiness,The variation in length and structure of sentences in a text.,تباين نصي,التباين في طول الجُمَل وبنيتها في النص.,Variabilité syntaxique,Variation dans la longueur et la structure des phrases d’un texte.,,
Business Intelligence,"A data-driven system that incorporates data collection, data storage, data analysis, and data visualization to support decision-making.",ذكاء الأعمال,نظام مبني على البيانات، يشتمل على جمع البيانات وتخزينها وتحليلها وتصويرها؛ لدعم اتخاذ القرار.,Intelligence d’affaires (ou analytique décisionnelle),"Système axé sur les données intégrant la collecte, le stockage, l’analyse et la visualisation des données pour soutenir la prise de décision.",,
Calibration Layer,A post-prediction adjustment for reducing the prediction bias.,طبقة المعايرة,تعديل لاحق للتنبؤ؛ لتقليل تحيُّزه.,Couche de calibration,Ajustement appliqué après la prédiction afin de réduire le biais des prévisions.,,
Candidate Generation,The process of selecting initial recommendations by a recommendation system.,توليد الترشيحات,عملية اختيار التوصيات الأولية بواسطة نظام التوصية.,Génération de candidats,Processus de sélection des premières recommandations dans un système de recommandation.,,
Candidate Sampling,An optimization method for training by calculating a probability for all the target classes and a random sample of other classes.,أخذ عيِّنات المُرشَّحين,طريقة لتحسين التدريب؛ عن طريق حساب الاحتمالات لجميع الأصناف المستهدفة، ولعينة عشوائية من الأصناف الأخرى.,Échantillonnage de candidats,Une méthode d'optimisation pour l'entraînement consistant à calculer une probabilité pour toutes les classes cibles et un échantillon aléatoire d'autres classes.,"Optimization method that, during training, computes the probability of the target classes along with a randomly sampled subset of other classes.","Méthode d’optimisation consistant à calculer, lors de l’entraînement, la probabilité des classes cibles ainsi que celle d’un échantillon aléatoire d’autres classes."
Capsule Neural Network (CapsNet),An artificial neural network composed of a group of neurons (capsules) that represent the instantiation parameters of a specific entity.,شبكة عصبية كبسولية,شبكة عصبية اصطناعية تتكون من مجموعة من الخلايا العصبية (كبسولات)، تُمثِّل مُعامِلات إنشاء لكيان معين.,Réseau de neurones à capsules ,Réseau neuronal artificiel composé de groupes de neurones (capsules) représentant les paramètres d’instanciation d’une entité spécifique.,,
Case-Based Reasoning (CBR),An approach to solve new problems by using solutions of past similar problems.,استدلال قائم على الحالة,طريقة لحل مشكلات جديدة باستخدام حلول لمشكلات سابقة مماثلة.,Raisonnement à base de cas ,Approche consistant à résoudre de nouveaux problèmes en s’appuyant sur les solutions de problèmes similaires passés.,,
Catastrophic Forgetting,"A phenomenon where a model loses previously learned information when learning new tasks. Also called ""Catastrophic Interference.""",نسيان كارثي,"ظاهرة يفقد فيها النموذج المعلومات التي تعلَّمها سابقًا، وذلك عند تعلُّم مهام جديدة. ويُطلق عليه أيضًا ""تداخل كارثي"".",Oubli catastrophique,"Phénomène par lequel un modèle perd les informations précédemment apprises lorsqu’il apprend de nouvelles tâches. Également appelé "" interférence catastrophique "".",,
Catastrophic Interference,"See ""Catastrophic Forgetting.""",تداخل كارثي,"انظر ""نسيان كارثي"".",Interférence catastrophique,"Voir "" Oubli catastrophique "".",,
Categorical Data,The features that have a discrete set of possible values.,بيانات فئوية,الخصائص التي تشتمل على مجموعة منفصلة من القيم المحتملة.,Données catégorielles,Caractéristiques disposant d’un ensemble fini et discret de valeurs possibles.,,
Causal Inference,The process of identifying cause-and-effect relationships between variables within data.,استنتاج سببي,عملية تحديد علاقات السبب والنتيجة بين المتغيرات داخل البيانات.,Inférence causale,Processus consistant à identifier les relations de cause à effet entre les variables d’un ensemble de données.,,
Causal Language Model,"See ""Unidirectional Language Model.""",نموذج لغوي سببي,"انظر ""نموذج لغوي أحادي الاتجاه"".",Modèle de langage causal,"Voir "" Modèle de langage unidirectionnel "".",,
Central Limit Theorem,"A theorem states that the means distribution of independent observations gets close to a normal distribution model when the sample size becomes larger, regardless of the statistical shape of the population distribution.",نظرية الحد المركزي,نظرية تنص على أن توزيع المتوسطات لمشاهدات مستقلة يقترب من نموذج التوزيع الطبيعي كلما أصبح حجم العينة أكبر، بغض النظر عن الشكل الإحصائي لتوزيع المجموعة التي أُخِذت منها العينة.,Théorème central limite,"Théorème stipulant que la distribution des moyennes d’observations indépendantes tend vers une distribution normale lorsque la taille de l’échantillon augmente, indépendamment de la forme de la distribution de la population. ",,
Central Processing Unit (CPU),An electronic circuit that executes program instructions and controls the performance of a computer.,وحدة المعالجة المركزية,دائرة إلكترونية تنفذ تعليمات البرنامج، وتتحكم في أداء الحاسب.,Unité centrale de traitement,Circuit électronique qui exécute les instructions d’un programme et contrôle les performances d’un ordinateur.,,
Centroid,"The center of a cluster that is specified by a clustering algorithm, such as k-means or k-median algorithms.",بؤرة تجميع,مركز مجموعة محدد بواسطة خوارزمية تجميع، مثل: خوارزميات تجميع بالمتوسط أو بالوسيط.,Centroïde,"Centre d’un cluster défini par un algorithme de regroupement (clustering), tel que k-means ou k-median.",,
Centroid-Based Clustering,A clustering algorithm that arranges data into non-hierarchical clusters represented by a central vector or a centroid.,تجميع تمحوري,خوارزمية تجميع، ترتب البيانات في مجموعات غير هرمية تُمثَّل بواسطة مُتَّجه مركزي أو بؤرة تجميع.,Regroupement basé sur le centroïde,Algorithme de regroupement (clustering) qui organise les données en clusters non hiérarchiques représentés par un vecteur central ou un centroïde.,,
Chain Rule,A fundamental theorem in calculus that provides a method for computing the derivative of a composite function. Also used in probability to calculate the joint probability of a sequence of events.,قاعدة التسلسل,نظرية أساسية في حساب التفاضل والتكامل، توفر طريقة لحساب مشتق دالة مركبة. وتُستخدم أيضًا في الاحتمالات؛ لحساب الاحتمال المشترك لتسلسل من الأحداث.,Règle de la chaîne,Théorème fondamental du calcul qui fournit une méthode pour calculer la dérivée d'une fonction composée. Également utilisé en probabilité pour calculer la probabilité conjointe d'une séquence d'événements.,,
Chain-of-Thought (CoT) Prompting,A prompt engineering technique that encourages a model to break down complex tasks into smaller steps to show the reasoning process.,أوامر تسلسل الأفكار,أسلوب لهندسة الأوامر، يحث النموذج على تقسيم المهام المعقدة إلى خطوات أصغر؛ لإظهار عملية الاستدلال.,Incitation par chaîne de raisonnement ,Technique d’ingénierie de requêtes incitant un modèle à décomposer une tâche complexe en étapes successives pour expliciter son raisonnement.,,
Chatbot,An AI program that utilizes natural language processing techniques to interact with human users through audio or texts conversations.,بوت محادثة,برنامج ذكاء اصطناعي يستخدم أساليب معالجة اللغات الطبيعية للتفاعل مع المستخدمين عن طريق المحادثات الصوتية أو النصية.,Agent conversationnel (chatbot),Programme d’intelligence artificielle utilisant le traitement du langage naturel pour interagir avec des utilisateurs humains par texte ou voix.,,
Checkpoint,A practice for saving a snapshot of the variables of a model at a given point in time to allow for exporting model weights and performing training across multiple sessions.,نقطة حفظ,حفظ نسخة من متغيرات النموذج في نقطة زمنية معينة، على وجه يُتيح تصدير أوزان النموذج وأداء التدريب عبر جلسات متعددة., Point de contrôle ,Pratique consistant à enregistrer un instantané des variables d’un modèle à un moment donné pour permettre l'exportation des poids du modèle et la réalisation d'un apprentissage sur plusieurs sessions.,Practice of saving a snapshot of a model’s variables at a given point in time to enable the export of model weights or the continuation of training across multiple sessions.,Pratique consistant à enregistrer un instantané des variables d’un modèle à un moment donné afin de permettre l’exportation des poids du modèle ou la poursuite de l’entraînement sur plusieurs sessions.
Chunk Size,The number of characters in a chunk of text.,حجم القطعة النصية,عدد الأحرف في قطعة من النص.,Taille du segment,Nombre de caractères ou d’unités textuelles dans un segment de texte.,,
Chunking,"The process of breaking down large amounts of text into smaller more manageable pieces called ""chunks"".",تقطيع,"عملية تقسيم كميات كبيرة من النصوص إلى أجزاء أصغر يسهل التحكم فيها تُسمَّى ""القطع"".",Segmentation (ou découpage en blocs),"Processus de division d’un grand volume de texte en unités plus petites et gérables appelées "" segments "".",,
Class,A label that represents one of the enumerated target values.,صنف,اسم يُمثل إحدى الفئات المحددة للتصنيف.,Classe,Étiquette représentant l’une des valeurs cibles énumérées.,,
Class-Imbalanced Dataset,"A problem in classification when the frequencies of classes in a dataset are significantly different. Also called ""Imbalanced Dataset.""",بيانات غير متوازنة الأصناف,"مشكلة في التصنيف عندما يكون عدد الأصناف في مجموعة بيانات مختلفًا اختلافًا كبيرًا. ويُطلق عليها أيضًا ""بيانات غير متوازنة"".",Désiquilibre des classes,"Problème de classification dans lequel la fréquence des classes est significativement différente les unes des autres. Également appelé "" ensemble de données déséquilibré "".",,
Classification,"A type of machine learning algorithms that identify the category to which a specific input belongs. Also called ""Standard Classification.""",تصنيف,"نوع من خوارزميات تعلُّم الآلة، تحدد الفئة التي ينتمي إليها مُدْخَل معين. ويُطلق عليه أيضًا ""تصنيف قياسي"".",Classification,"Type d’algorithme d’apprentissage automatique permettant d’identifier la catégorie à laquelle appartient une entrée donnée. Également appelée "" classification standard "".",,
Classification Model,A machine learning model that differentiates among two or more discrete classes.,نموذج تصنيف,نموذج تعلُّم آلة يميز بين صنفين منفصلين أو أكثر.,Modèle de classification,Modèle d’apprentissage automatique capable de différencier deux ou plusieurs classes distinctes.,,
Classification Threshold,"A value criterion to classify a new observation to binary classification. Also called ""Decision Threshold.""",حد التصنيف,"معيار عددي لتصنيف مشاهدة جديدة إلى تصنيف ثنائي. ويُطلق عليه أيضًا ""حد القرار"".",Seuil de classification,"Valeur de référence utilisée pour attribuer une observation à une classe dans le cadre d’une classification binaire. Également appelé "" seuil de décision "".",,
Classifier,An algorithm used for categorizing data into sets (or classes) based on behavioral and structural features.,مُصنِّف,خوارزمية تُستخدم لتصنيف البيانات إلى مجموعات (أو أصناف) بناءً على الخصائص السلوكية والهيكلية.,Classifieur,Algorithme utilisé pour catégoriser les données en ensembles (ou classes) selon leurs caractéristiques comportementales et structurelles.,,
Clickstream Analytics,A type of Web analytics that is used to monitor and analyze website visitors.,تحليلات النقرات,نوع من تحليلات الويب يُستخدم لمراقبة زوار المواقع الإلكترونية وتحليل سلوكهم.,Analyse des flux de clics,Type d’analyse web utilisée pour observer et analyser le comportement des visiteurs sur un site web.,,
Clipping,A normalization technique used to deal with outliers by capping all feature values above or below a specific value to fixed value.,تقليم,أسلوب تسوية يُستخدم للتعامل مع القيم الشاذة؛ عن طريق وضع حد أقصى بقيمة ثابتة لجميع قيم الخصائص التي تكون أعلى أو أقل من قيمة محددة.,"""Clipping"" ou Troncature ",Technique de normalisation consistant à limiter les valeurs extrêmes d’une variable en les ramenant à une valeur fixe prédéterminée.,,
Cloud Computing,A computing model for enabling access to a scalable set of shared computer resources with self-service provision and on-demand administration.,حوسبة سحابية,أسلوب حوسبي لتمكين الوصول إلى مجموعة قابلة للتوسع من موارد الحاسب المشتركة، مع توفير خدمة ذاتية وإدارة عند الطلب.,"""Cloud Computing"" ou Informatique en nuage","Modèle informatique permettant l’accès à un ensemble extensible de ressources partagées (serveurs, stockage, etc.) avec mise à disposition à la demande et administration automatisée.",,
Cloud Data Ecosystem,"A comprehensive and integrated environment designed to manage, process, and analyze data in the cloud.",منظومة بيانات سحابية,بيئة شاملة ومتكاملة مصممة لإدارة البيانات ومعالجتها وتحليلها في الأنظمة السحابية.,Écosystème de données en nuage,"Environnement complet et intégré destiné à gérer, traiter et analyser les données stockées dans le cloud.",,
Cloud Robotics,"A field of robotics in which robots utilize cloud technologies, such as storage and computing, to extend their capabilities.",علم الروبوتات السحابية,مجال في علم الروبوتات تستخدم فيه الروبوتات التقنيات السحابية لتوسيع قدراتها، مثل: التخزين والحوسبة.,Robotique en nuage,"Domaine de la robotique dans lequel les robots exploitent les technologies du cloud, telles que le stockage et la puissance de calcul, afin d’étendre leurs capacités.",,
Cluster,A set of objects that are of similar features and organized by similarities.,مجموعة,مجموعة من الأشياء المتشابهة في خصائصها، والمنظَّمة حسب أوجه التشابه بينها.,Groupe (ou cluster),Ensemble d’objets présentant des caractéristiques similaires et regroupés selon leurs ressemblances.,,
Cluster Analysis,"See ""Clustering.""",تحليل المجموعات,"انظر ""تجميع"".",Analyse de regroupement,"Voir "" Regroupement (Clustering) "".",,
Clustering,"A method in unsupervised machine learning for grouping similar objects into clusters. Also called ""Cluster Analysis.""",تجميع,"طريقة في تعلُّم الآلة غير الموجَّه لتجميع الأشياء المتشابهة في مجموعات. ويُطلق عليها أيضًا ""تحليل المجموعات"".",Regroupement (Clustering),"Méthode d’apprentissage non supervisé consistant à regrouper des objets similaires en clusters. Également appelée "" analyse de regroupement "".",,
Co-Adaptation,A problem in neural networks when neurons are highly dependent on other specific neurons instead of the behavior of the network as a whole.,تَكَيُّف مشترك,مشكلة في الشبكات العصبية تحدث عندما تعتمد الخلايا العصبية بصورة كبيرة على خلايا عصبية محددة بدلًا من اعتمادها على السلوك العام للشبكة.,Co-adaptation,Problème survenant dans les réseaux neuronaux lorsque certains neurones deviennent trop dépendants d’autres neurones spécifiques plutôt que du comportement global du réseau.,,
Co-Training,A semi-supervised learning method used in classification when the unlabeled data is more than labeled data and the dataset has two independent and complementary sets of features.,تدريب مشترك,طريقة تعلُّم شبه موجَّه، تُستخدم في التصنيف عندما تكون البيانات غير المُسمَّاة أكثر من البيانات المُسمَّاة، وتشتمل مجموعة البيانات على مجموعتين مستقلتين ومتكاملتين من الخصائص.,Co-apprentissage (ou apprentissage conjoint),"Méthode d’apprentissage semi-supervisé utilisée pour la classification lorsque les données non étiquetées dépassent les données étiquetées, et que deux ensembles de caractéristiques indépendants et complémentaires sont disponibles.",,
COBWEB,An unsupervised and incremental clustering algorithm that generates a hierarchy of classes.,كوبويب,خوارزمية تجميع تدريجية وغير موجَّهة، تُولِّد تصنيفًا هرميًّا للأصناف.,Algorithme COBWEB,Algorithme de regroupement non supervisé et incrémental qui génère une hiérarchie de classes.,,
Coefficient,A constant value that is multiplied by a variable or an expression.,مُعامِل المتغير,قيمة ثابتة مضروبة بمتغير أو تعبير رياضي.,Coefficient,Valeur constante multipliée par une variable ou une expression mathématique.,,
Cognitive Architecture,A hypothesis on the fixed structures of a human or artificial mind and the embodied knowledge and skills to produce intelligent behavior.,معمارية إدراكية,فرضية حول البنية الثابتة للعقل البشري أو الاصطناعي والمعرفة والمهارات المُجسَّدة لإنتاج سلوك ذكي.,Architecture cognitive,Hypothèse relative aux structures fixes de l’esprit humain ou artificiel et aux connaissances et compétences qui y sont intégrées pour produire un comportement intelligent.,,
Cognitive Automation,The use of artificial intelligence technologies to automate tasks that require human cognitive abilities.,أتمتة إدراكية,استخدام تقنيات الذكاء الاصطناعي لأتمتة المهام التي تتطلب قدرات إدراكية بشرية.,Automatisation cognitive,Utilisation des technologies d’intelligence artificielle pour automatiser des tâches nécessitant des capacités cognitives humaines.,,
Cognitive Computing,A field of computer science that aims to simulate human thought processes in a computerized model.,حوسبة إدراكية,مجال في علوم الحاسب يهدف إلى محاكاة عمليات التفكير البشري في نموذج محوسب.,Informatique cognitive,Domaine de l’informatique visant à simuler les processus de pensée humaine dans des modèles informatisés.,,
Cognitive Science,A field that focuses on studying the mind and its processes and how they can be simulated in machines.,علوم إدراكية,مجال يركز على دراسة العقل وعملياته وكيف يمكن محاكاتها في الآلات.,Sciences cognitives,"Domaine qui étudie l’esprit et ses processus, ainsi que la manière de les simuler dans des machines.",,
Cognitive System,"A system that can mimic human cognitive processes such as learning, reasoning, and problem-solving.",نظام إدراكي,نظام يمكنه محاكاة العمليات الإدراكية البشرية، مثل: التعلُّم والاستدلال وحل المشكلات.,Système cognitif,"Système capable de mimer des processus cognitifs humains tels que l’apprentissage, le raisonnement et la résolution de problèmes.",,
Cohen’s Kappa,A statistical measure to evaluate the degree of agreement between two raters or to evaluate a classification model performance.,مقياس كوهين كابا,مقياس إحصائي لتقييم درجة الاتفاق بين اثنين من المقيِّمين، أو لتقييم أداء نموذج التصنيف.,Kappa de Cohen,Mesure statistique évaluant le degré d’accord entre deux évaluateurs ou la performance d’un modèle de classification.,,
Cold Data Storage,The storage of inactive data that is only used rarely.,تخزين البيانات غير النشطة,تخزين البيانات التي لا تُستخدم إلا نادرًا.,Stockage à froid des données,Stockage de données inactives rarement utilisées.,,
Collaborative Artificial Intelligence,AI designed to work alongside humans to achieve shared goals.,ذكاء اصطناعي تعاوني,ذكاء اصطناعي مصمم للعمل مع البشر لتحقيق أهداف مشتركة.,Intelligence artificielle collaborative,IA conçue pour travailler aux côtés des humains afin d’atteindre des objectifs partagés.,,
Collaborative Filtering,A technique used in recommendation systems to make predictions about the interests of a user based on the interests of other users.,تصفية تعاونية,أسلوب يُستخدم في أنظمة التوصية للتنبؤ باهتمامات المستخدم بناءً على اهتمامات المستخدمين الآخرين.,Filtrage collaboratif,Technique de recommandation qui prédit les intérêts d’un utilisateur à partir des intérêts d’utilisateurs similaires.,,
Collaborative Robot (Cobot),A robot designed for close interaction with a human in a shared workspace.,روبوت تعاوني,روبوت مُصمَّم للتفاعل المباشر مع الإنسان في بيئة عمل مشتركة.,Robot collaboratif (cobot),Robot conçu pour interagir de près avec un humain dans un espace de travail partagé.,,
Combinatorial Optimization,The process of finding an optimal solution from a finite set of possibilities when an exhaustive search is not feasible.,تحسين توافقي,عملية إيجاد الحل الأمثل من مجموعة محدودة من الاحتمالات، وذلك عندما يكون البحث الشامل غير ممكن.,Optimisation combinatoire,Processus consistant à trouver une solution optimale parmi un ensemble fini de possibilités lorsque la recherche exhaustive n’est pas réalisable.,,
Committee Machine,A model that combines the outputs of multiple models to make a final prediction or decision.,آلة تشاركية,نموذج يجمع مخرجات نماذج متعددة للتوصل إلى التنبؤ أو القرار النهائي.,Modèle d’ensemble,Modèle qui combine les sorties de plusieurs modèles pour produire une prédiction ou décision finale.,,
Commonsense Knowledge,The information that helps humans to make sense of everyday activities.,معرفة بديهية,المعلومات التي تساعد البشر على فهم الأنشطة اليومية.,Connaissances de sens commun,Informations qui aident les humains à interpréter les activités du quotidien.,,
Commonsense Reasoning,The ability of AI systems to understand and make inferences about everyday situations like human commonsense.,استدلال بديهي,قدرة أنظمة الذكاء الاصطناعي على فهم المواقف اليومية، والاستنتاج منها بطريقة مشابهة للبديهة البشرية.,Raisonnement de sens commun,Capacité des systèmes d’IA à comprendre et inférer sur des situations quotidiennes comme le fait l’humain.,,
Complete Linkage,A clustering method that defines the distance between two clusters as the maximum distance between any pair of data points from each cluster.,ربط كامل,طريقة تجميع تُعرِّف المسافة بين مجموعتين عن طريق أقصى مسافة بين أي زوج من نقاط البيانات من كل مجموعة.,Liaison complète,Méthode de regroupement définissant la distance entre deux clusters comme la distance maximale entre toute paire de points des deux clusters.,,
Composable Data Analytics,A flexible approach that enables the assembling and reusing of existing data and analytics components to create customized solutions.,تحليلات تركيبية للبيانات,طريقة مرنة تتيح تجميع وإعادة استخدام مُكوِّنات البيانات والتحليلات الحالية؛ لإنشاء حلول مخصصة.,Analytique de données composable,Approche flexible permettant d’assembler et réutiliser des composants de données et d’analytique existants pour créer des solutions sur mesure.,,
Composite Artificial Intelligence,An approach that combines different AI techniques to create more advanced systems.,ذكاء اصطناعي مُرَكَّب,طريقة تجمع بين أساليب الذكاء الاصطناعي المختلفة لإنشاء أنظمة أكثر تقدمًا.,Intelligence artificielle composite,Approche combinant différentes techniques d’IA pour construire des systèmes plus avancés.,,
Computational Creativity,An emerging field in artificial intelligence that focuses on the ability of machines to both generate and evaluate creative outputs.,إبداع حوسبي,مجال ناشئ في الذكاء الاصطناعي يركز على قدرة الآلات على توليد مخرجات إبداعية وتقييمها.,Créativité computationnelle,Domaine émergent de l’IA centré sur la capacité des machines à générer et évaluer des productions créatives.,,
Computational Humor,A branch of artificial intelligence concerned with modeling and generating humor.,فكاهة حوسبية,فرع من فروع الذكاء الاصطناعي يهتم بنمذجة الفكاهة وتوليدها.,Humour computationnel,Branche de l’IA consacrée à la modélisation et à la génération de l’humour.,,
Computational Intelligence (CI),"A field that focuses on the biological and linguistical motivation to develop computational approaches, including Neural Networks, Fuzzy Systems, and Evolutionary Computation.",ذكاء حوسبي,مجال دراسة يركز على الدافع البيولوجي واللغوي لتطوير الطُّرُق الحوسبية، ويشمل الشبكات العصبية والأنظمة الضبابية والحوسبة التطورية.,Intelligence computationnelle,"Domaine s’inspirant de la biologie et de la linguistique pour développer des approches computationnelles, incluant réseaux neuronaux, systèmes flous et calcul évolutif.",,
