English Term,English Def.,Arabic Term,Arabic Def.
Candidate Generation,The process of selecting initial recommendations by a recommendation system.,توليد الترشيحات,عملية اختيار التوصيات الأولية بواسطة نظام التوصية.
Candidate Sampling,An optimization method for training by calculating a probability for all the target classes and a random sample of other classes.,أخذ عيِّنات المُرشَّحين,طريقة لتحسين التدريب؛ عن طريق حساب الاحتمالات لجميع الأصناف المستهدفة، ولعينة عشوائية من الأصناف الأخرى.
Capsule Neural Network (CapsNet),An artificial neural network composed of a group of neurons (capsules) that represent the instantiation parameters of a specific entity.,شبكة عصبية كبسولية,شبكة عصبية اصطناعية تتكون من مجموعة من الخلايا العصبية (كبسولات)، تُمثِّل مُعامِلات إنشاء لكيان معين.
Case-Based Reasoning (CBR),An approach to solve new problems by using solutions of past similar problems.,استدلال قائم على الحالة,طريقة لحل مشكلات جديدة باستخدام حلول لمشكلات سابقة مماثلة.
Catastrophic Forgetting,"A phenomenon where a model loses previously learned information when learning new tasks. Also called ""Catastrophic Interference.""",نسيان كارثي,"ظاهرة يفقد فيها النموذج المعلومات التي تعلَّمها سابقًا، وذلك عند تعلُّم مهام جديدة. ويُطلق عليه أيضًا ""تداخل كارثي""."
Catastrophic Interference,"See ""Catastrophic Forgetting.""",تداخل كارثي,"انظر ""نسيان كارثي""."
Categorical Data,The features that have a discrete set of possible values.,بيانات فئوية,الخصائص التي تشتمل على مجموعة منفصلة من القيم المحتملة.
Causal Inference,The process of identifying cause-and-effect relationships between variables within data.,استنتاج سببي,عملية تحديد علاقات السبب والنتيجة بين المتغيرات داخل البيانات.
Causal Language Model,"See ""Unidirectional Language Model.""",نموذج لغوي سببي,"انظر ""نموذج لغوي أحادي الاتجاه""."
Central Limit Theorem,"A theorem states that the means distribution of independent observations gets close to a normal distribution model when the sample size becomes larger, regardless of the statistical shape of the population distribution.",نظرية الحد المركزي,نظرية تنص على أن توزيع المتوسطات لمشاهدات مستقلة يقترب من نموذج التوزيع الطبيعي كلما أصبح حجم العينة أكبر، بغض النظر عن الشكل الإحصائي لتوزيع المجموعة التي أُخِذت منها العينة.
Central Processing Unit (CPU),An electronic circuit that executes program instructions and controls the performance of a computer.,وحدة المعالجة المركزية,دائرة إلكترونية تنفذ تعليمات البرنامج، وتتحكم في أداء الحاسب.
Centroid,"The center of a cluster that is specified by a clustering algorithm, such as k-means or k-median algorithms.",بؤرة تجميع,مركز مجموعة محدد بواسطة خوارزمية تجميع، مثل: خوارزميات تجميع بالمتوسط أو بالوسيط.
Centroid-Based Clustering,A clustering algorithm that arranges data into non-hierarchical clusters represented by a central vector or a centroid.,تجميع تمحوري,خوارزمية تجميع، ترتب البيانات في مجموعات غير هرمية تُمثَّل بواسطة مُتَّجه مركزي أو بؤرة تجميع.
Chain Rule,A fundamental theorem in calculus that provides a method for computing the derivative of a composite function. Also used in probability to calculate the joint probability of a sequence of events.,قاعدة التسلسل,نظرية أساسية في حساب التفاضل والتكامل، توفر طريقة لحساب مشتق دالة مركبة. وتُستخدم أيضًا في الاحتمالات؛ لحساب الاحتمال المشترك لتسلسل من الأحداث.
Chain-of-Thought (CoT) Prompting,A prompt engineering technique that encourages a model to break down complex tasks into smaller steps to show the reasoning process.,أوامر تسلسل الأفكار,أسلوب لهندسة الأوامر، يحث النموذج على تقسيم المهام المعقدة إلى خطوات أصغر؛ لإظهار عملية الاستدلال.
Chatbot,An AI program that utilizes natural language processing techniques to interact with human users through audio or texts conversations.,بوت محادثة,برنامج ذكاء اصطناعي يستخدم أساليب معالجة اللغات الطبيعية للتفاعل مع المستخدمين عن طريق المحادثات الصوتية أو النصية.
Checkpoint,A practice for saving a snapshot of the variables of a model at a given point in time to allow for exporting model weights and performing training across multiple sessions.,نقطة حفظ,حفظ نسخة من متغيرات النموذج في نقطة زمنية معينة، على وجه يُتيح تصدير أوزان النموذج وأداء التدريب عبر جلسات متعددة.
Chunk Size,The number of characters in a chunk of text.,حجم القطعة النصية,عدد الأحرف في قطعة من النص.
Chunking,"The process of breaking down large amounts of text into smaller more manageable pieces called ""chunks"".",تقطيع,"عملية تقسيم كميات كبيرة من النصوص إلى أجزاء أصغر يسهل التحكم فيها تُسمَّى ""القطع""."
Class,A label that represents one of the enumerated target values.,صنف,اسم يُمثل إحدى الفئات المحددة للتصنيف.
Class-Imbalanced Dataset,"A problem in classification when the frequencies of classes in a dataset are significantly different. Also called ""Imbalanced Dataset.""",بيانات غير متوازنة الأصناف,"مشكلة في التصنيف عندما يكون عدد الأصناف في مجموعة بيانات مختلفًا اختلافًا كبيرًا. ويُطلق عليها أيضًا ""بيانات غير متوازنة""."
Classification,"A type of machine learning algorithms that identify the category to which a specific input belongs. Also called ""Standard Classification.""",تصنيف,"نوع من خوارزميات تعلُّم الآلة، تحدد الفئة التي ينتمي إليها مُدْخَل معين. ويُطلق عليه أيضًا ""تصنيف قياسي""."
Classification Model,A machine learning model that differentiates among two or more discrete classes.,نموذج تصنيف,نموذج تعلُّم آلة يميز بين صنفين منفصلين أو أكثر.
Classification Threshold,"A value criterion to classify a new observation to binary classification. Also called ""Decision Threshold.""",حد التصنيف,"معيار عددي لتصنيف مشاهدة جديدة إلى تصنيف ثنائي. ويُطلق عليه أيضًا ""حد القرار""."
Classifier,An algorithm used for categorizing data into sets (or classes) based on behavioral and structural features.,مُصنِّف,خوارزمية تُستخدم لتصنيف البيانات إلى مجموعات (أو أصناف) بناءً على الخصائص السلوكية والهيكلية.
Clickstream Analytics,A type of Web analytics that is used to monitor and analyze website visitors.,تحليلات النقرات,نوع من تحليلات الويب يُستخدم لمراقبة زوار المواقع الإلكترونية وتحليل سلوكهم.
Clipping,A normalization technique used to deal with outliers by capping all feature values above or below a specific value to fixed value.,تقليم,أسلوب تسوية يُستخدم للتعامل مع القيم الشاذة؛ عن طريق وضع حد أقصى بقيمة ثابتة لجميع قيم الخصائص التي تكون أعلى أو أقل من قيمة محددة.
Cloud Computing,A computing model for enabling access to a scalable set of shared computer resources with self-service provision and on-demand administration.,حوسبة سحابية,أسلوب حوسبي لتمكين الوصول إلى مجموعة قابلة للتوسع من موارد الحاسب المشتركة، مع توفير خدمة ذاتية وإدارة عند الطلب.
Cloud Data Ecosystem,"A comprehensive and integrated environment designed to manage, process, and analyze data in the cloud.",منظومة بيانات سحابية,بيئة شاملة ومتكاملة مصممة لإدارة البيانات ومعالجتها وتحليلها في الأنظمة السحابية.
Cloud Robotics,"A field of robotics in which robots utilize cloud technologies, such as storage and computing, to extend their capabilities.",علم الروبوتات السحابية,مجال في علم الروبوتات تستخدم فيه الروبوتات التقنيات السحابية لتوسيع قدراتها، مثل: التخزين والحوسبة.
Cluster,A set of objects that are of similar features and organized by similarities.,مجموعة,مجموعة من الأشياء المتشابهة في خصائصها، والمنظَّمة حسب أوجه التشابه بينها.
Cluster Analysis,"See ""Clustering.""",تحليل المجموعات,"انظر ""تجميع""."
Clustering,"A method in unsupervised machine learning for grouping similar objects into clusters. Also called ""Cluster Analysis.""",تجميع,"طريقة في تعلُّم الآلة غير الموجَّه لتجميع الأشياء المتشابهة في مجموعات. ويُطلق عليها أيضًا ""تحليل المجموعات""."
Co-Adaptation,A problem in neural networks when neurons are highly dependent on other specific neurons instead of the behavior of the network as a whole.,تَكَيُّف مشترك,مشكلة في الشبكات العصبية تحدث عندما تعتمد الخلايا العصبية بصورة كبيرة على خلايا عصبية محددة بدلًا من اعتمادها على السلوك العام للشبكة.
Co-Training,A semi-supervised learning method used in classification when the unlabeled data is more than labeled data and the dataset has two independent and complementary sets of features.,تدريب مشترك,طريقة تعلُّم شبه موجَّه، تُستخدم في التصنيف عندما تكون البيانات غير المُسمَّاة أكثر من البيانات المُسمَّاة، وتشتمل مجموعة البيانات على مجموعتين مستقلتين ومتكاملتين من الخصائص.
COBWEB,An unsupervised and incremental clustering algorithm that generates a hierarchy of classes.,كوبويب,خوارزمية تجميع تدريجية وغير موجَّهة، تُولِّد تصنيفًا هرميًّا للأصناف.
Coefficient,A constant value that is multiplied by a variable or an expression.,مُعامِل المتغير,قيمة ثابتة مضروبة بمتغير أو تعبير رياضي.
Cognitive Architecture,A hypothesis on the fixed structures of a human or artificial mind and the embodied knowledge and skills to produce intelligent behavior.,معمارية إدراكية,فرضية حول البنية الثابتة للعقل البشري أو الاصطناعي والمعرفة والمهارات المُجسَّدة لإنتاج سلوك ذكي.
Cognitive Automation,The use of artificial intelligence technologies to automate tasks that require human cognitive abilities.,أتمتة إدراكية,استخدام تقنيات الذكاء الاصطناعي لأتمتة المهام التي تتطلب قدرات إدراكية بشرية.
Cognitive Computing,A field of computer science that aims to simulate human thought processes in a computerized model.,حوسبة إدراكية,مجال في علوم الحاسب يهدف إلى محاكاة عمليات التفكير البشري في نموذج محوسب.
Cognitive Science,A field that focuses on studying the mind and its processes and how they can be simulated in machines.,علوم إدراكية,مجال يركز على دراسة العقل وعملياته وكيف يمكن محاكاتها في الآلات.
Cognitive System,"A system that can mimic human cognitive processes such as learning, reasoning, and problem-solving.",نظام إدراكي,نظام يمكنه محاكاة العمليات الإدراكية البشرية، مثل: التعلُّم والاستدلال وحل المشكلات.
Cohen’s Kappa,A statistical measure to evaluate the degree of agreement between two raters or to evaluate a classification model performance.,مقياس كوهين كابا,مقياس إحصائي لتقييم درجة الاتفاق بين اثنين من المقيِّمين، أو لتقييم أداء نموذج التصنيف.
Cold Data Storage,The storage of inactive data that is only used rarely.,تخزين البيانات غير النشطة,تخزين البيانات التي لا تُستخدم إلا نادرًا.
Collaborative Artificial Intelligence,AI designed to work alongside humans to achieve shared goals.,ذكاء اصطناعي تعاوني,ذكاء اصطناعي مصمم للعمل مع البشر لتحقيق أهداف مشتركة.
Collaborative Filtering,A technique used in recommendation systems to make predictions about the interests of a user based on the interests of other users.,تصفية تعاونية,أسلوب يُستخدم في أنظمة التوصية للتنبؤ باهتمامات المستخدم بناءً على اهتمامات المستخدمين الآخرين.
Collaborative Robot (Cobot),A robot designed for close interaction with a human in a shared workspace.,روبوت تعاوني,روبوت مُصمَّم للتفاعل المباشر مع الإنسان في بيئة عمل مشتركة.
Combinatorial Optimization,The process of finding an optimal solution from a finite set of possibilities when an exhaustive search is not feasible.,تحسين توافقي,عملية إيجاد الحل الأمثل من مجموعة محدودة من الاحتمالات، وذلك عندما يكون البحث الشامل غير ممكن.
Committee Machine,A model that combines the outputs of multiple models to make a final prediction or decision.,آلة تشاركية,نموذج يجمع مخرجات نماذج متعددة للتوصل إلى التنبؤ أو القرار النهائي.
Commonsense Knowledge,The information that helps humans to make sense of everyday activities.,معرفة بديهية,المعلومات التي تساعد البشر على فهم الأنشطة اليومية.
Commonsense Reasoning,The ability of AI systems to understand and make inferences about everyday situations like human commonsense.,استدلال بديهي,قدرة أنظمة الذكاء الاصطناعي على فهم المواقف اليومية، والاستنتاج منها بطريقة مشابهة للبديهة البشرية.
Complete Linkage,A clustering method that defines the distance between two clusters as the maximum distance between any pair of data points from each cluster.,ربط كامل,طريقة تجميع تُعرِّف المسافة بين مجموعتين عن طريق أقصى مسافة بين أي زوج من نقاط البيانات من كل مجموعة.
Composable Data Analytics,A flexible approach that enables the assembling and reusing of existing data and analytics components to create customized solutions.,تحليلات تركيبية للبيانات,طريقة مرنة تتيح تجميع وإعادة استخدام مُكوِّنات البيانات والتحليلات الحالية؛ لإنشاء حلول مخصصة.
Composite Artificial Intelligence,An approach that combines different AI techniques to create more advanced systems.,ذكاء اصطناعي مُرَكَّب,طريقة تجمع بين أساليب الذكاء الاصطناعي المختلفة لإنشاء أنظمة أكثر تقدمًا.
Computational Creativity,An emerging field in artificial intelligence that focuses on the ability of machines to both generate and evaluate creative outputs.,إبداع حوسبي,مجال ناشئ في الذكاء الاصطناعي يركز على قدرة الآلات على توليد مخرجات إبداعية وتقييمها.
Computational Humor,A branch of artificial intelligence concerned with modeling and generating humor.,فكاهة حوسبية,فرع من فروع الذكاء الاصطناعي يهتم بنمذجة الفكاهة وتوليدها.
Computational Intelligence (CI),"A field that focuses on the biological and linguistical motivation to develop computational approaches, including Neural Networks, Fuzzy Systems, and Evolutionary Computation.",ذكاء حوسبي,مجال دراسة يركز على الدافع البيولوجي واللغوي لتطوير الطُّرُق الحوسبية، ويشمل الشبكات العصبية والأنظمة الضبابية والحوسبة التطورية.
Computational Learning Theory,"A field of artificial intelligence that focuses on all aspects of designing and analyzing machine learning algorithms to identify learnable problems. Also called ""Learning Theory.""",نظرية التعلُّم الحوسبي,"مجال في الذكاء الاصطناعي يركز على جميع جوانب التصميم لخوارزميات تعلُّم الآلة وتحليلها؛ لتحديد المشكلات التي يمكن تعلُّمها. ويُطلق عليه أيضًا ""نظرية التعلُّم""."
Computational Linguistics,A scientific field concerned with understanding human language from a computational perspective.,لغويات حوسبية,مجال علمي يهتم بفهم لغة الإنسان من منظور حوسبي.
Computational Neuroscience,A field that focuses on using computational tools and techniques to study the brain and nervous system.,علم الأعصاب الحوسبي,مجال يركز على استخدام الأدوات والأساليب الحوسبية لدراسة الدماغ والجهاز العصبي.
Computer Vision,"A field of artificial intelligence that focuses on analyzing and understanding visual data (images and videos). Also called ""Machine Vision.""",رؤية الحاسب,"مجال في الذكاء الاصطناعي يركز على تحليل البيانات المرئية (صور وفيديوهات) وفهم محتواها. ويُطلق عليه أيضًا ""رؤية الآلة""."
Computer-Aided Detection (CADe),A system that assists clinical diagnosis tasks by automated detection in medical records.,اكتشاف بمساعدة الحاسب,نظام يساعد في مهام التشخيص السريري عن طريق الاكتشاف المؤتمت في السجلات الطبية.
Concept Drift,An unexpected change that happens over time to the statistical properties of the target variable.,انجراف المفهوم,تغيُّر غير متوقع في الخصائص الإحصائية للمتغير المستهدف، يحدث بمرور الوقت.
Conditional Model,"See ""Discriminative Model.""",نموذج شَرطي,"انظر ""نموذج تمييزي""."
Conditional Probability,A probability measure of an event occurring on the condition that another event has already occurred.,احتمال شَرطي,قياس لاحتمال وقوع حدث معين مسبوق بحدث آخر.
Confidence Interval,A type of interval estimate that contains the range of values required to match the confidence level for estimating the features of observed data.,نطاق الثقة,نوع من تقدير النطاق الذي يشتمل على مجموعة من القيم المطلوبة لمطابقة مستوى الثقة في تقدير خصائص البيانات المرصودة.
Confirmation Bias ,The tendency of favoring information that confirms preexisting beliefs or hypotheses.,تحيُّز تأكيدي,الميل إلى تفضيل المعلومات التي تؤكد المعتقدات أو الفرضيات الموجودة سابقًا.
Confusion Matrix,A matrix that summarizes the performance of a classification model and shows how successful the predictions were.,مصفوفة الدقة,مصفوفة تلخص أداء نموذج التصنيف، وتوضح مدى نجاح التنبؤات.
Connectionism,A type of cognitive modeling that uses artificial neural networks to explain intellectual abilities.,تشابكية,نوع من النمذجة الإدراكية يستخدم الشبكات العصبية الاصطناعية؛ لشرح القدرات الفكرية.
Constitutional Artificial Intelligence,A method to make AI systems more aligned with human values and ethics by creating a set of rules or principles to guide their behavior.,ذكاء اصطناعي دستوري,طريقة لجعل أنظمة الذكاء الاصطناعي أكثر توافقًا مع القيم والأخلاق الإنسانية؛ عن طريق إنشاء مجموعة من القواعد أو المبادئ توجِّه سلوكها.
Constraint Satisfaction,A decision problem with finite choices and the objective is to satisfy a given set of constraints by finding values for a set of variables.,تلبية القيود,مشكلة تتعلق باتخاذ القرار مع محدودية الخيارات، والهدف هو تلبية مجموعة معينة من القيود عن طريق إيجاد قيم مجموعة من المتغيرات.
Content Generator,A machine learning program that generates content by using natural language processing techniques.,مولِّد محتوى,برنامج تعلُّم آلة يُولِّد المحتوى باستخدام أساليب معالجة اللغات الطبيعية.
Content Moderation,The practice of monitoring and applying predefined rules and guidelines to the users' submissions to determine the content's appropriateness.,إشراف على المحتوى,مراقبة المحتوى الذي يقدمه المستخدمون، وتطبيق القواعد والإرشادات المحددة سابقًا؛ لتحديد مدى ملاءمته.
Content-Based Filtering,A technique used in recommendation systems to make predictions about a user's interests based on the item's features and user's likes.,تصفية قائمة على المحتوى,أسلوب يُستخدم في أنظمة التوصية للتنبؤ باهتمامات المستخدم بناءً على إعجاباته وخصائص العناصر.
Context Length,The maximum number of tokens a language model can process and remember at one time.,طول السياق,الحد الأقصى لعدد الوحدات اللغوية التي يمكن للنموذج اللغوي معالجتها وتذكرها في نفس الوقت.
Contextual Embedding,A word representation that captures the meaning of words based on their context within a text.,تضمين سياقي,تمثيل للكلمات يراعي معنى الكلمات بناءً على سياقها داخل النص.
Continuous Feature,A feature that has an infinite number of possible values.,خاصية مستمرة,خاصية لها عدد لانهائي من القيم الممكنة.
Contrastive Language-Image Pre-training (CLIP),A neural network model that learns to associate images with their corresponding text descriptions by training on a massive dataset of image-text pairs.,تدريب سابق تبايني للنصوص والصور,نموذج شبكة عصبية يتعلم ربط الصور بأوصاف نصية عن طريق التدريب على مجموعة بيانات ضخمة من أزواج الصور والنصوص.
Contrastive Learning,A machine learning technique that learns meaningful representations by contrasting positive and negative examples.,تعلُّم تبايني,أسلوب تعلُّم آلة يتعلم التمثيلات المفيدة عن طريق مقارنة الأمثلة الإيجابية والسلبية.
Contrastive Loss,A loss function that encourages the model to learn embeddings by minimizing the distance between similar pairs of data points and maximizing the distance between dissimilar pairs.,خسارة تباينية,دالة خسارة تشجع النموذج على تعلم عمليات التضمين؛ عن طريق تقليل المسافة بين الأزواج المتشابهة من نقاط البيانات، وتعظيم المسافة بين الأزواج غير المتشابهة.
Control Theory,A field of applied mathematics that deals with dynamical systems' behavior by using feedback to influence the behavior and achieve the desired goal.,نظرية التحكم,مجال في الرياضيات التطبيقية يتعامل مع سلوك الأنظمة الديناميكية باستخدام التغذية الراجعة للتأثير في السلوك وتحقيق الهدف المنشود.
Controllability,The property of an AI system in which external entities can intervene in its functioning.,قابلية التحكم,خاصية نظام ذكاء اصطناعي تُمكّن الكيانات الخارجية من التدخل في عمله.
Convenience Sampling,A method for collecting data from easily accessible sources.,أخذ عيِّنات سهلة,طريقة لجمع البيانات من مصادر يمكن الوصول إليها بسهولة.
Convergence,A state reached by a model when additional training on the existing data will not significantly improve the model.,تقارب,الحالة التي يصل إليها النموذج عندما لا يحقق التدريب الإضافي على البيانات الموجودة تحسينًا كبيرًا في النموذج.
Conversational Artificial Intelligence,The technologies that use machine learning and natural language processing to provide human-like interaction with users via text or voice.,ذكاء اصطناعي تحاوري,التقنيات التي تستخدم تعلُّم الآلة ومعالجة اللغات الطبيعية لتوفير تفاعل نصي أو صوتي مع المستخدمين يشبه التفاعل الإنساني.
Conversational Artificial Intelligence Platform,A software solution that enables the development and deployment of AI-powered conversational interfaces for natural language interactions between humans and computers.,منصة ذكاء اصطناعي تحاوري,حل برمجي يتيح تطوير واجهات محادثة مدعومة بالذكاء الاصطناعي ونشرها؛ لتسهيل التواصل باللغات الطبيعية بين البشر وأجهزة الحاسب.
Conversational User Interface,A user interface that allows users to interact with computers in a way similar to a human-to-human conversation.,واجهة مستخدم تحاورية,واجهة مستخدم تتيح للمستخدمين التفاعل مع أجهزة الحاسب بطريقة تشبه المحادثة بين البشر.
Convex Function,A function in which the area above its graph is a convex set.,دالة مُحَدَّبة,دالة تكون المنطقة فوق رسمها البياني عبارة عن مجموعة مُحَدَّبة.
Convex Optimization,A process of finding the minimum of a convex function using mathematical techniques.,تحسين مُحَدَّب,عملية إيجاد الحد الأدنى من دالة مُحَدَّبة باستخدام أساليب رياضية.
Convex Set,A subset of Euclidean space in which a drawn line between any two points in the subset stays totally within the subset.,مجموعة مُحَدَّبة,مجموعة فرعية من الفضاء الإقليدي، يظل الخط المرسوم بين أي نقطتين فيها داخل المجموعة الفرعية.
Convolution,A process of filtering to train weights by mixing the convolutional filter and the input matrix.,ترشيح,عملية ترشيح لتدريب الأوزان عن طريق خلط المُرشِّح ومصفوفة المُدْخَلات.
Convolutional Filter,"A filter that performs convolution operations by scanning the input while considering its dimensions. Also called ""Kernel"" or ""Feature Detector.""",مُرشِّح,"مُرشِّح يقوم بعمليات الترشيح عن طريق فحص المُدْخَلات مع مراعاة أبعادها. ويُطلق عليه أيضًا ""نواة"" أو ""كاشف الخصائص""."
Convolutional Layer (or Convolution Layer),A layer in a convolutional neural network that uses filters to perform convolution operations.,طبقة ترشيحية,طبقة في الشبكة العصبية الترشيحية تستخدم المُرشِّحات لإجراء عمليات الترشيح.
Convolutional Neural Network (CNN),A type of deep neural network used to create models for analyzing and processing images and videos.,شبكة عصبية ترشيحية,نوع من الشبكات العصبية العميقة المستخدمة في إنشاء نماذج لتحليل الصور والفيديوهات ومعالجتها.
Convolutional Operation,A mathematical operation of multiplying a slice of an input matrix and the convolutional filter and then summing all the values in the resulting matrix.,عملية ترشيحية,عملية حسابية لضرب شريحة من مصفوفة المُدْخَلات والمُرشِّح، ثم جمع كل القيم في المصفوفة الناتجة.
Convolutional Stride,The step size of shifting the convolution filters.,خطوة ترشيحية,حجم خطوة تحريك المُرشِّحات.
Coreference Resolution,A task in natural language processing (NLP) that involves identifying all expressions in a text that refer to the same entity.,تحديد المرجع,مهمة في معالجة اللغات الطبيعية تتضمن تحديد كل التعبيرات التي تشير إلى نفس الكيان في النص.
Corpus,A large and structured collection of text or audio data.,مدونة,مجموعة كبيرة مهيكلة من البيانات النصية أو الصوتية.
Correlation,A statistical measure of the extent to which two variables are mathematically related.,ارتباط,مقياس إحصائي لمدى الارتباط الرياضي بين متغيرين.
Cost Function,"See ""Loss Function.""",دالة التكلفة,"انظر ""دالة الخسارة""."
Counterfactual Explanation,A method used to explain the decisions made by machine learning models by describing what changes to the input data would have resulted in a different outcome.,تفسير مغاير,طريقة تُستخدم لشرح القرارات التي تتخذها نماذج تعلُّم الآلة؛ عن طريق وصف التغييرات في البيانات المُدْخَلة التي من الممكن أن تؤدي إلى نتائج مختلفة.
Counterfactual Fairness,A fairness metric that evaluates whether a classifier makes the same result for identical individuals except for one or more sensitive attributes.,إنصاف مغاير,مقياس إنصاف يُقيِّم ما إذا كان المُصنِّف يعطي نفس النتيجة لأفراد متطابقين إلا في سمة حساسة أو أكثر.
Covariance,A measure of the variability of two unrelated variables.,تباين,مقياس لمدى التباين بين متغيرين غير مرتبطين ببعضهما.
Coverage Bias ,A type of selection bias in which the selected data does not represent the target population.,تحيُّز التغطية,نوع من تحيُّز الاختيار لا تُمثِّل فيه البيانات المختارة مجموعة العينة المستهدفة.
Cross-Entropy Loss,"See ""Log Loss.""",خسارة الإنتروبيا التقاطعية,"انظر ""خسارة لوغاريثمية""."
Cross-Validation,A mechanism for evaluating a model generalization on new data by testing the model against one or more subsets taken from the training set.,تحقق تقاطعي,آلية لتقييم تعميم النموذج على البيانات الجديدة؛ عن طريق اختبار النموذج على مجموعة فرعية واحدة أو أكثر، مأخوذة من مجموعة التدريب.
Curriculum Learning,"A machine learning training strategy where models are trained on data in a meaningful sequence, starting with easier examples and gradually progressing to more difficult ones.",تعلُّم منهجي,إستراتيجية تدريب في تعلُّم الآلة، تُدرِّب النماذج على البيانات بتسلسل ذي معنى، بدءًا من الأمثلة الأسهل، ثم التقدم تدريجيًّا إلى الأمثلة الأكثر صعوبة.
Custom Estimator,An estimator that is designed to follow specific directions.,مقدِّر مخصَّص,مقدِّر مصمَّم لاتباع توجيهات محددة.
Custom Model,A model that accepts inputs specific to a user and returns predictions based on those inputs.,نموذج مخصَّص,نموذج يقبل المُدْخَلات الخاصة بمستخدم ما، ويُعطي تنبؤات بناءً على تلك المُدْخَلات.
Custom Training,The process that trains a model to make particular predictions.,تدريب مخصَّص,عملية تدريب النموذج على القيام بتنبؤات معينة.
Dark Data,"The data that organizations collect, process, and store during regular business activities but do not use for other purposes.",بيانات مظلمة,البيانات التي تجمعها المؤسسات وتعالجها وتخزنها أثناء أنشطة الأعمال العادية، ولكنها لا تستخدمها في أغراض أخرى.
Dashboard,"A graphical user interface that combines information and visualizations to view metrics, benchmarks, or indicators that assist in monitoring and decision-making.",لوحة معلومات,واجهة مستخدم رسومية تجمع المعلومات والتصويرات لعرض المقاييس أو المعايير أو المؤشرات التي تساعد في المراقبة واتخاذ القرار.
Data,"The representation of information in a suitable format for storage, processing, or transmission.",بيانات,تمثيل للمعلومات بصيغة مناسبة للتخزين أو المعالجة أو النقل.
Data Aggregation,"The process of data gathering from several sources for analysis or reporting, including data grouping or summarization, such as sum, average, minimum, or maximum.",تجميع البيانات,عملية جمع البيانات من عدة مصادر للتحليل أو إعداد التقارير، وتشمل تجميع البيانات أو تلخيصها عن طريق عمليات حسابية، مثل: حساب المجموع أو المتوسط أو الحد الأدنى أو الحد الأقصى.
Data Analysis,"A systemic examination of data through samples, measurement, and visualization.",تحليل البيانات,فحص منهجي للبيانات عن طريق العيِّنات والقياس والتصوير.
Data Analytics,"A concept that consists of collecting, validating, processing, and visualizing data to obtain insights useful for decision-making.",تحليلات البيانات,مفهوم يضم عمليات جمع البيانات والتحقق من صحتها ومعالجتها وتصويرها؛ لأجل اكتشاف رؤى مفيدة في اتخاذ القرار.
Data Annotation,"The process of adding descriptive information to the dataset to be used as an input for a machine learning model. Also called ""Data Labeling"" or ""Labeling.""",توصيف البيانات,"عملية إضافة معلومات وصفية إلى مجموعة البيانات؛ لاستخدامها كمُدْخَلات لنموذج تعلُّم الآلة. ويُطلق عليها أيضًا ""تسمية البيانات"" أو ""تسمية""."
Data Anonymization,The process of removing or modifying personally identifiable information from datasets to protect individuals' privacy.,إخفاء بيانات الهوية,عملية تعديل معلومات التعريف الشخصية أو إزالتها من مجموعات البيانات؛ لحماية خصوصية الأفراد.
Data Augmentation,A machine learning technique to create new data by manipulating the original data.,زيادة البيانات,أسلوب في تعلُّم الآلة لإنشاء بيانات جديدة عن طريق معالجة البيانات الأصلية.
Data Center,A physical facility that houses many servers and data storage devices with high-speed connectivity to manage the organization's applications and data.,مركز البيانات,مكان يضم مجموعة من الخوادم وأجهزة تخزين البيانات مع اتصال عالي السرعة؛ لإدارة تطبيقات المؤسسة وبياناتها.
Data Classification,"The process of assigning categories or labels to data based on its content, sensitivity, or other criteria to improve organization, security, and compliance.",تصنيف البيانات,عملية تعيين فئات أو أسماء للبيانات بناءً على محتواها أو حساسيتها أو معايير أخرى؛ لتحسين التنظيم والأمن والامتثال.
Data Cleansing (or Data Cleaning),"The process of correcting errors, inconsistencies, and inaccuracies in datasets. Also called ""Data Scrubbing.""",تنظيف البيانات,"عملية تصحيح الأخطاء والتناقضات وعدم الدقة في مجموعات البيانات. ويُطلق عليها أيضًا ""تنقية البيانات""."
Data Collection,"The process of gathering and measuring data, including data acquisition, data labeling, and data improvement.",جمع البيانات,عملية جمع البيانات وقياسها، وتشمل الحصول عليها وتسميتها وتحسينها.
Data Control,"The policies, procedures, and tools used to manage and protect data throughout its lifecycle.",تحكم في البيانات,السياسات والإجراءات والأدوات المستخدمة لإدارة البيانات وحمايتها طوال دورة حياتها.
Data Custodian,A person or organization in charge of providing IT infrastructure and protecting data in conformance to data governance policies and practices.,أمين البيانات,شخص أو مؤسسة مسؤولة عن توفير البنية التحتية لتقنية المعلومات وحماية البيانات وفقًا لسياسات حوكمة البيانات وممارساتها.
Data Dredging,"A statistical bias that occurs when data is manipulated or analyzed excessively to produce statistically significant results that may not be truly significant. Also called ""Data Snooping"", ""Data Fishing"", or ""P-Hacking.""",تلاعب بالبيانات,"تحيُّز إحصائي يحدث عند التلاعب بالبيانات أو تحليلها بطريقة مفرطة للوصول إلى نتائج ذات دلالة إحصائية مع أنها قد لا تكون كذلك. يُطلق عليه أيضًا ""تطفُّل على البيانات"" أو ""تصيُّد في البيانات"" أو ""قرصنة القيمة الاحتمالية""."
Data Drift,"A change that happens over time in the distribution of model input data, which can cause a decline in model performance. Also called ""Data Shift.""",انحراف البيانات,"تغيير في توزيع البيانات المُدْخَلة في النموذج، يحدث مع مرور الوقت؛ وقد يؤدي إلى انخفاض أداء النموذج. يُطلق عليه أيضًا ""تغيُّر البيانات""."
